title,description
Fazer compras,Comprar mantimentos no supermercado: leite - ovos - pão - frutas - carne - e legumes.
Estudar programação,Dedicar 2 horas à prática de programação - trabalhando em projetos pessoais.
Fazer exercícios,Fazer 30 minutos de exercícios físicos - incluindo corrida e flexões.
Ler um livro,Ler o livro "O Senhor dos Anéis" por 1 hora.
Escrever relatório,Escrever um relatório detalhado sobre o último trimestre de atividades da empresa.
Assistir filme,Assistir a um filme de suspense - "Silêncio dos Inocentes".
Limpar a casa,Realizar uma limpeza completa da casa - incluindo aspirar - esfregar e lavar roupas.
Preparar jantar,Preparar um jantar especial: lasanha caseira e salada.
Estudar idiomas,Estudar espanhol por 45 minutos - praticando vocabulário e gramática.
Fazer reparos,Consertar a torneira do banheiro que está vazando.
Passear com o cachorro,Levar o cachorro para um passeio de 20 minutos no parque.
Marcar consulta médica,Marcar uma consulta com o médico para exame de rotina.
Assistir série,Assistir a dois episódios da série de TV favorita.
Escrever código,Programar uma nova funcionalidade para o aplicativo.
Fazer um bolo,Assar um bolo de chocolate.
Estudar matemática,Revisar álgebra por 1 hora.
Lavar o carro,Lavar e encerar o carro.
Fazer ioga,Fazer uma sessão de ioga de 45 minutos para relaxar.
Organizar escritório,Organizar a mesa de trabalho e arquivos.
Ler notícias,Ler as últimas notícias online.
Jogar xadrez,Jogar uma partida de xadrez online.
Fazer um piquenique,Fazer um piquenique no parque com amigos.
Estudar história,Estudar história mundial por 30 minutos.
Consertar computador,Resolver problemas de software no computador.
Pintar quadro,Passar 2 horas pintando um quadro a óleo.